X,Y,OBJECTID,ACCIDENT_NO,ABS_CODE,ACCIDENT_STATUS,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_ID,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,VICGRID_X,VICGRID_Y,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL
2476521.049,2403579.119,13,T20150013814,ABS to receive accident,Finished,1/07/2015 0:00,1:37:00,Yes,Vehicle overturned (no collision),Wednesday,OFF CARRIAGEWAY ON RIGHT BEND,No,Dark Street lights on,Yes,Not at intersection,Serious injury accident,Not known,Yes,291063,144.7331699,-37.8684244,Non-Intersection,WYNDHAM,METROPOLITAN NORTH WEST REGION,2476521.049,2403579.119,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Yes,0,1,0,0,1,0,MELB_URBAN,MELB_URBAN,WYNDHAM
2508215.796,2400842.975,7,T20150013823,ABS to receive accident,Finished,1/07/2015 0:00,3:05:00,Yes,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Dark Street lights on,Yes,Cross intersection,Fatal accident,60 km/hr,No,41584,145.0934127,-37.89349304,Intersection,MONASH,METROPOLITAN SOUTH EAST REGION,2508215.796,2400842.975,4,2,1,1,0,2,2,0,0,1,2,0,0,1,0,0,0,0,0,0,No,0,3,0,2,1,0,MELB_URBAN,MELB_URBAN,MONASH
2531482.544,2400294.812,1420,T20150017127,ABS to receive accident,Finished,1/07/2015 0:00,4:10:00,Yes,Struck animal,Wednesday,STRUCK ANIMAL,No,Dark No street lights,No,Not at intersection,Other injury accident,70 km/hr,No,292952,145.3579613,-37.89793191,Non-Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,2531482.544,2400294.812,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,MELB_URBAN,MELB_URBAN,YARRA RANGES
2463324.456,2372233.575,48,T20150013880,Non ABS accident,Private Property,1/07/2015 0:00,4:30:00,Yes,Collision with vehicle,Wednesday,OTHER ACCIDENTS NOT CLASSIFIABLE ELSEWHERE,No,Dark No street lights,Yes,Unknown,Serious injury accident,Camping grounds or off road,No,291190,144.5816,-38.15054,Off Road,GEELONG,SOUTH WESTERN REGION,2463324.456,2372233.575,3,2,0,1,1,1,1,2,0,0,1,2,0,0,0,0,0,0,0,0,No,0,3,0,3,0,0,SMALL_CITIES,SMALL_CITIES,GEELONG
2523641.665,2389398.15,14,T20150013820,Heart attk/suicide/death by nat.causes,Finished,1/07/2015 0:00,4:30:00,Yes,Struck Pedestrian,Wednesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Dark Street lights on,Yes,Not at intersection,Fatal accident,100 km/hr,No,291088,145.269155,-37.99632984,Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,2523641.665,2389398.15,2,1,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,1,0,0,0,MELB_URBAN,MELB_URBAN,CASEY
2444652.517,2369157.816,26,T20150013818,ABS to receive accident,Finished,1/07/2015 0:00,5:15:00,Yes,Collision with a fixed object,Wednesday,OTHER ACCIDENTS ON CURVE NOT INCLUDED IN DCAs 180-184,No,Dark Street lights on,Yes,Not at intersection,Other injury accident,60 km/hr,No,293078,144.3684268,-38.17736877,Non-Intersection,GEELONG,SOUTH WESTERN REGION,2444652.517,2369157.816,2,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,GEELONG
2516547.808,2389749.139,4,T20150013886,ABS to receive accident,Finished,1/07/2015 0:00,6:00:00,Yes,Collision with a fixed object,Wednesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,T intersection,Serious injury accident,80 km/hr,Yes,282422,145.188348,-37.99335596,Intersection,DANDENONG,METROPOLITAN SOUTH EAST REGION,2516547.808,2389749.139,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,MELB_URBAN,MELB_URBAN,DANDENONG
2521124.929,2391508.386,29,T20150013881,ABS to receive accident,Finished,1/07/2015 0:00,6:30:00,No,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),No,Dusk/Dawn,Yes,Not at intersection,Serious injury accident,100 km/hr,No,291178,145.2404612,-37.97737037,Non-Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,2521124.929,2391508.386,2,1,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,CASEY
2507892.775,2413445.155,1168,T20150016270,ABS to receive accident,Finished,1/07/2015 0:00,6:30:00,No,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights on,No,Not at intersection,Other injury accident,100 km/hr,No,292508,145.0846711,-37.77994413,Non-Intersection,BOROONDARA,METROPOLITAN SOUTH EAST REGION,2507892.775,2413445.155,5,1,0,0,1,4,3,0,0,1,2,0,0,0,2,0,0,0,0,1,No,0,4,0,2,0,0,MELB_URBAN,MELB_URBAN,BOROONDARA
2312243.463,2475165.224,35,T20150013885,ABS to receive accident,Finished,1/07/2015 0:00,6:40:00,No,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),Yes,Dark No street lights,Yes,Not at intersection,Other injury accident,100 km/hr,No,291195,142.8844702,-37.20501458,Non-Intersection,ARARAT,WESTERN REGION,2312243.463,2475165.224,4,2,0,0,2,2,2,1,0,1,2,0,0,0,1,0,0,0,0,0,No,0,3,1,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,ARARAT
